STNAME,CTYNAME,POPESTIMATE2020,GEOID,MEDIAN_HOUSEHOLD_INCOME,CENTROID
Virginia,Hanover County,110207,51085,103639,POINT (1605039.3833618911 1792680.5134517215)
Virginia,Henrico County,334939,51087,82187,POINT (1618287.1368815985 1769594.9652535578)
Virginia,Henry County,50848,51089,49370,POINT (1420573.9851321222 1635948.9909878848)
Virginia,Highland County,2240,51091,54470,POINT (1415836.7439587947 1825706.1696075336)
Virginia,Isle of Wight County,38710,51093,85227,POINT (1691206.752839991 1712427.7359619031)
Virginia,James City County,78487,51095,103070,POINT (1676823.1069726488 1755904.5761466208)
Virginia,King and Queen County,6589,51097,62180,POINT (1657820.1370946104 1797652.5328126708)
Virginia,King George County,26827,51099,100092,POINT (1622222.6627600277 1854224.6044053368)
Virginia,King William County,17922,51101,82715,POINT (1640394.123460906 1794037.546518101)
Virginia,Lancaster County,10905,51103,60857,POINT (1693761.4085436594 1806028.8644206803)
Virginia,Lee County,22107,51105,41573,POINT (1135931.8252727676 1594873.4261292797)
Virginia,Loudoun County,422723,51107,167605,POINT (1564049.7607058836 1936577.8573703864)
Virginia,Louisa County,37784,51109,72569,POINT (1559967.8792302718 1808902.799475008)
Virginia,Lunenburg County,11950,51111,47660,POINT (1557641.2808333202 1690694.9946884525)
Virginia,Madison County,13861,51113,71697,POINT (1523600.4626386887 1851822.685054735)
Virginia,Mathews County,8519,51115,73827,POINT (1710652.4520052243 1777814.9004309934)
Virginia,Mecklenburg County,30283,51117,52092,POINT (1552761.891588031 1659298.3810329572)
Virginia,Middlesex County,10611,51119,68881,POINT (1688345.5924838646 1794945.6915887364)
Virginia,Montgomery County,99584,51121,69668,POINT (1367747.1683420332 1683311.1579465666)
Virginia,Nelson County,14739,51125,66612,POINT (1484917.8490464692 1773125.9694053067)
Virginia,New Kent County,23126,51127,115627,POINT (1652781.9988012696 1773357.212338495)
Virginia,Northampton County,12215,51131,52783,POINT (1752758.0134628592 1775172.3197115494)
Virginia,Northumberland County,11837,51133,67077,POINT (1693593.533331436 1825819.8122405575)
Virginia,Nottoway County,15645,51135,50756,POINT (1570018.463325995 1715563.8454370354)
Virginia,Orange County,36396,51137,81390,POINT (1550077.7784357362 1837778.9460409496)
Virginia,Page County,23689,51139,60061,POINT (1502021.4136037263 1871415.5675929307)
Virginia,Patrick County,17591,51141,49319,POINT (1384892.440234536 1629677.365903876)
Virginia,Pittsylvania County,60380,51143,49659,POINT (1459756.2591588227 1658381.1199569346)
Virginia,Powhatan County,30451,51145,105231,POINT (1573315.5867145483 1762586.7590874874)
Virginia,Prince Edward County,21893,51147,57400,POINT (1535015.6686937956 1718286.394751509)
Virginia,Prince George County,43086,51149,76571,POINT (1639993.1515864937 1734020.752891772)
Virginia,Prince William County,482863,51153,119051,POINT (1584741.2824948162 1897154.6473100963)
Virginia,Pulaski County,33800,51155,57731,POINT (1340804.9774951898 1666087.362620054)
Virginia,Rappahannock County,7323,51157,85575,POINT (1528503.013575777 1883279.618114835)
Virginia,Richmond County,8918,51159,60180,POINT (1666159.0187402084 1825341.6781693583)
Virginia,Roanoke County,96952,51161,77010,POINT (1393333.417099327 1697954.457571044)
Virginia,Rockbridge County,22657,51163,64393,POINT (1436277.7630746546 1767141.4874979148)
Virginia,Rockingham County,83779,51165,72921,POINT (1471670.7224113976 1852728.1371379849)
Virginia,Russell County,25756,51167,49537,POINT (1222103.96324809 1632474.348976289)
Virginia,Scott County,21586,51169,43743,POINT (1181775.792384534 1602237.5004483971)
Virginia,Shenandoah County,44256,51171,65289,POINT (1490173.643698001 1896156.38515794)
Virginia,Smyth County,29780,51173,45484,POINT (1273101.660665365 1630429.1925577726)
Virginia,Southampton County,17951,51175,61246,POINT (1660835.3212006555 1685288.3923984766)
Virginia,Spotsylvania County,140611,51177,96322,POINT (1581742.722399401 1836782.447782318)
Virginia,Stafford County,157767,51179,134456,POINT (1593407.011927696 1865591.2279676816)
Virginia,Surry County,6551,51181,65339,POINT (1671256.884233971 1732613.51805311)
Virginia,Sussex County,10798,51183,49340,POINT (1643259.0820485852 1704856.409437719)
Virginia,Tazewell County,40411,51185,48360,POINT (1265838.842848812 1660566.521650318)
Virginia,Warren County,40797,51187,79949,POINT (1520025.083808062 1907397.2370763975)
Virginia,Washington County,53903,51191,61686,POINT (1238122.7332869917 1611422.4297426103)
Virginia,Westmoreland County,18505,51193,61545,POINT (1656055.0806839666 1843027.5369033744)
Virginia,Wise County,36066,51195,45220,POINT (1175730.6717944774 1630782.30493423)
Virginia,Wythe County,28322,51197,47257,POINT (1311575.5762709894 1644510.814016253)
Virginia,York County,70238,51199,111346,POINT (1697743.058842684 1752470.2904221185)
Virginia,Alexandria city,159144,51510,110115,POINT (1616637.4477358048 1915508.3247146765)
Virginia,Bristol city,17303,51520,43123,POINT (1221755.6194988785 1596864.5508971692)
Virginia,Buena Vista city,6621,51530,51030,POINT (1445415.930181131 1760244.3378183474)
Virginia,Charlottesville city,46434,51540,67903,POINT (1514036.4076731582 1806814.1249371497)
Virginia,Chesapeake city,249726,51550,87127,POINT (1731335.612511849 1694576.7999339025)
Virginia,Colonial Heights city,18166,51570,68456,POINT (1623916.0485579884 1739821.950308716)
Virginia,Covington city,5745,51580,46592,POINT (1390527.8008493248 1755404.375656474)
Virginia,Danville city,42578,51590,40799,POINT (1463862.9860896158 1631872.7273427688)
Virginia,Emporia city,5694,51595,43496,POINT (1624350.271469683 1674848.4932469714)
Virginia,Fairfax city,24179,51600,122790,POINT (1597599.0394644118 1915984.650785849)
Virginia,Falls Church city,14677,51610,142513,POINT (1607191.4058273733 1921677.3138780724)
Virginia,Franklin city,8148,51620,54594,POINT (1676249.8049292346 1683923.7812624394)
Virginia,Fredericksburg city,27995,51630,71217,POINT (1593802.7026446967 1851894.1307952516)
Virginia,Galax city,6717,51640,44706,POINT (1330061.124181155 1619104.630231975)
Virginia,Hampton city,137282,51650,64086,POINT (1718470.9869511172 1732911.1937015513)
Virginia,Harrisonburg city,51705,51660,56057,POINT (1472789.8155765303 1844505.916806214)
Virginia,Hopewell city,23012,51670,53098,POINT (1631743.8431917091 1744635.9707599627)
Virginia,Lexington city,7315,51678,62382,POINT (1436850.3483361888 1763884.9053993835)
Virginia,Lynchburg city,78993,51680,50494,POINT (1465610.5222368273 1725481.7274988557)
Virginia,Manassas city,42695,51683,97722,POINT (1584076.446576878 1901285.0098791595)
Virginia,Manassas Park city,17164,51685,90816,POINT (1587031.6866046465 1904631.1409534689)
Virginia,Martinsville city,13476,51690,41500,POINT (1421760.2388815673 1636158.4537737442)
Virginia,Newport News city,186052,51700,63350,POINT (1703716.2880100105 1735160.8212496685)
Virginia,Norfolk city,237813,51710,60030,POINT (1729765.1321909283 1719737.7129649518)
Virginia,Norton city,3681,51720,41298,POINT (1176165.3447800048 1625460.356084654)
Virginia,Petersburg city,33398,51730,42385,POINT (1625410.3006826334 1733381.847358731)
Virginia,Poquoson city,12473,51735,109549,POINT (1716069.7189653718 1744712.248236507)
Virginia,Portsmouth city,97997,51740,54843,POINT (1722438.9683237008 1713595.1529472475)
Virginia,Radford city,16115,51750,47892,POINT (1353117.289604295 1674687.867195132)
Virginia,Richmond city,226923,51760,58719,POINT (1610891.7846079825 1767903.099994003)
Virginia,Roanoke city,99898,51770,50425,POINT (1401995.419845815 1700482.4437972766)
Virginia,Salem city,25396,51775,63676,POINT (1393203.2863531662 1699638.0276232134)
Virginia,Staunton city,25809,51790,61917,POINT (1462321.2309419562 1811851.939674982)
Virginia,Suffolk city,94794,51800,81858,POINT (1702098.87765791 1691323.8834259354)
Virginia,Virginia Beach city,459673,51810,83066,POINT (1752537.4651095732 1705484.6928446223)
Virginia,Waynesboro city,22277,51820,58527,POINT (1477850.938769445 1803534.386924741)
